episode,step,reward,completed,deadline_misses,active_tasks
0,0,-0.5395871746365021,11,0,0
0,1,-0.395229500886316,9,0,0
0,2,-0.24259576703633573,4,0,0
0,3,-0.3214050660614586,7,0,0
0,4,-0.42654212132952996,9,0,0
0,5,-0.5370282053786459,10,0,0
0,6,-0.3933678546859026,7,0,0
0,7,-0.5780769465989025,9,0,0
0,8,-0.3173390967142997,5,0,0
0,9,-0.18119012031995477,3,0,0
0,10,-0.20317451652334026,6,0,0
0,11,-0.2870343532488348,5,0,0
0,12,-0.36882460372218495,6,0,0
0,13,-0.210966162429006,5,0,0
0,14,-0.5376087213280545,9,0,0
0,15,-0.20743538045328813,5,0,0
0,16,-0.5018021683723995,11,0,0
0,17,-0.38109065876593484,9,0,0
0,18,-0.12118133265765246,4,0,0
0,19,-0.33073945058148735,9,0,0
0,20,-0.5524451243835105,8,0,0
0,21,-0.3744842228651167,5,0,0
0,22,-0.32129045505566234,7,0,0
0,23,-0.5726096671137956,10,0,0
0,24,-0.24244652149275753,5,0,0
0,25,-0.23122832018082984,6,0,0
0,26,-0.31851830312780227,7,0,0
0,27,-0.3301280919412649,7,0,0
0,28,-0.35411856434317146,9,0,0
0,29,-0.20567972983995697,7,0,0
0,30,-0.33274714870884203,10,0,0
0,31,-0.3462286451719418,7,0,0
0,32,-0.32964239764215336,7,0,0
0,33,-0.6302329918978122,9,0,0
0,34,-0.45661534312022406,8,0,0
0,35,-0.2701321285418586,4,0,0
0,36,-0.37244374488654247,10,0,0
0,37,-0.3344930594579863,7,0,0
0,38,-0.3004548903328392,5,0,0
0,39,-0.7422436798737253,10,0,0
0,40,-0.29442245699512615,7,0,0
0,41,-0.3197690958646436,7,0,0
0,42,-0.7079270984309665,8,0,0
0,43,-0.29279827886636783,8,0,0
0,44,-0.23596843495496117,5,0,0
0,45,-0.5523767444954796,9,0,0
0,46,-0.4299558430199977,7,0,0
0,47,-0.506377398698903,9,0,0
0,48,-0.2642292445670409,7,0,0
0,49,-0.2847866226257358,8,0,0
0,50,-0.30562088017325806,6,0,0
0,51,-0.41987191302865445,9,0,0
0,52,-0.4828121230649996,9,0,0
0,53,-0.459027240893398,8,0,0
0,54,-0.31222294878093704,8,0,0
0,55,-0.1740125996692779,6,0,0
0,56,-0.40877776659450626,8,0,0
0,57,-0.13123145655911117,7,0,0
0,58,-0.5108393639390654,8,0,0
0,59,-0.6064374477522507,8,0,0
0,60,-0.3504652936909686,10,0,0
0,61,-0.23810698457079893,5,0,0
0,62,-0.4420204815045322,7,0,0
0,63,-0.30352952506907266,7,0,0
0,64,-0.44209308894232924,9,0,0
0,65,-0.42143821992967995,8,0,0
0,66,-0.539033559911698,9,0,0
0,67,-0.5129232580680712,10,0,0
0,68,-0.24949291051415054,7,0,0
0,69,-0.49121655373001527,8,0,0
0,70,-0.3471193627303362,8,0,0
0,71,-0.37656935400041963,5,0,0
0,72,-0.5826809471483159,11,0,0
0,73,-0.32763015100117043,6,0,0
0,74,-0.16244204610934648,3,0,0
0,75,-0.4405011060310252,8,0,0
0,76,-0.43154885064369447,11,0,0
0,77,-0.4084596072298694,9,0,0
0,78,-0.2523167858842153,6,0,0
0,79,-0.4848265536186065,7,0,0
0,80,-0.3725249756144638,7,0,0
0,81,-0.19961677722428184,4,0,0
0,82,-0.5048452201747713,7,0,0
0,83,-0.26852703974014286,7,0,0
0,84,-0.19138391279422798,6,0,0
0,85,-0.25825310530926976,6,0,0
0,86,-0.3612092131732957,7,0,0
0,87,-0.15001171658338344,6,0,0
0,88,-0.6743467098037336,9,0,0
0,89,-0.3487961367229904,9,0,0
0,90,-0.36303793890275576,8,0,0
0,91,-0.602439554259127,9,0,0
0,92,-0.37810413931414366,8,0,0
0,93,-0.22002553158625185,4,0,0
0,94,-0.26731590562907637,6,0,0
0,95,-0.5714946409808118,9,0,0
0,96,-0.18675413260801238,4,0,0
0,97,-0.34907318895561673,7,0,0
0,98,-0.3431419511006799,8,0,0
0,99,-0.23216045069662145,5,0,0
0,100,-0.6150827854201262,9,0,0
0,101,-0.26205843526898104,8,0,0
0,102,-0.4424010718641966,9,0,0
0,103,-0.19401092233961362,7,0,0
0,104,-0.5838569353158418,9,0,0
0,105,-0.42692782799709444,8,0,0
0,106,-0.3625211882675706,8,0,0
0,107,-0.733946745292327,11,0,0
0,108,-0.31064142702776937,9,0,0
0,109,-0.38589601363192605,8,0,0
0,110,-0.34087533105472956,7,0,0
0,111,-0.30925312300300795,7,0,0
0,112,-0.30126961767130767,5,0,0
0,113,-0.36427181257209923,6,0,0
0,114,-0.3779741454514692,7,0,0
0,115,-0.46615701573290663,8,0,0
0,116,-0.38077789710961757,8,0,0
0,117,-0.30827664104169705,7,0,0
0,118,-0.24429373794677556,7,0,0
0,119,-0.4184813092797941,7,0,0
0,120,-0.16750991701010431,5,0,0
0,121,-0.45907664508068863,10,0,0
0,122,-0.5973958041073911,10,0,0
0,123,-0.4843747559900924,9,0,0
0,124,-0.2896745056867919,5,0,0
0,125,-0.7147707851283794,10,0,0
0,126,-0.5119930330328725,7,0,0
0,127,-0.3410216320172191,7,0,0
0,128,-0.3498997844154367,6,0,0
0,129,-0.5693306928123578,8,0,0
0,130,-0.37216665362507884,7,0,0
0,131,-0.6076955554505987,8,0,0
0,132,-0.2269904112005755,6,0,0
0,133,-0.21463784636909183,5,0,0
0,134,-0.30427040214620854,9,0,0
0,135,-0.4718734837501145,11,0,0
0,136,-0.24242471659670117,7,0,0
0,137,-0.39880864956943074,8,0,0
